id,problem,variant,seed,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,steps,elapsed_seconds,model_sha256
helmholtz__local_only__44,helmholtz,local_only,44,0.05203579809024734,0.06725038156309539,0.039377135204267166,0.04665338121952933,0.05159969383191233,0.06725038156309539,0.03907059329245503,0.04626501866252999,3000,38.130018079002184,e2d837961bb972a51fc40736991deb4fda16193c05f0ac6e2ea993a4286f53e1
allen_cahn__local_only__44,allen_cahn,local_only,44,0.02928727684382932,0.04626765444821193,0.031212831060748153,0.041251112420947894,0.028901120999963604,0.04629015750230921,0.03092146609313045,0.040436359414755485,1200,4.99808930799918,ebdd6984712d73167cd3203da4ca25ea60a3de6edfbf3fbb2b7db7b72a6eba62
burgers__neither__55,burgers,neither,55,0.717412599974001,1.8246911579382201,1.4787922087086267,1.7272584936544018,0.718058162012228,1.8271446847708963,1.4823230833268364,1.725660918809532,5000,44.470673333999,623363d1903acfa05d517c91e873e766056d98398a547d5124d605364513392d
burgers__local_only__55,burgers,local_only,55,0.1804886513963351,1.6156145548050813,0.036856594076916216,0.41774261085928355,0.1821962500803268,1.6156145548050813,0.03627166210861049,0.27826708354331164,5000,43.47533774800104,30b40cf8d5d1be4011532edcc03b9170aa2e9bd7592dfd29d323790ea035cd70
helmholtz__local_only__55,helmholtz,local_only,55,0.0537691647756882,0.05719074608723057,0.038839071316678964,0.044856747475125594,0.053358471651070986,0.05719074608723057,0.03855897986364478,0.04441916951472491,3000,36.855797170002916,df0dcd5d519e2397f2d2f28c6955db72720eed795082b0880f78bc96b25893da
helmholtz__full_quad__55,helmholtz,full_quad,55,0.014530571281239472,0.016338270257206005,0.01311680810626549,0.014774532079533179,0.014452532073390126,0.016338270257206005,0.013103484858565606,0.01473923831168901,3000,57.57417064799665,a3011e98c47e014b01a44c10208221f5bb9cc52a2f140ef78a06a96f9bf13031
allen_cahn__neither__55,allen_cahn,neither,55,0.022969458363082364,0.03710788075210189,0.021291119573510875,0.029043417175626328,0.022725519455493413,0.03712084013861611,0.021033842250121004,0.028596655174449856,1200,4.463318376998359,ee5c58cb87436cc87491f2d76ea47a6988925050d3706cfcd4f7a6e446f3c8d9
wave__local_only__55,wave,local_only,55,0.025423549494449655,0.04748483477354631,0.025019926730863756,0.029311098523614992,0.02532565521048031,0.04748483477354631,0.02494535957416366,0.029011056434260607,1200,6.552503250000882,e580f28db19cf069cc4b27b3eef156ddbef9b84bd3d6e530e9c8b4d9ba9b35e4
burgers__global_only__55,burgers,global_only,55,0.18641585506306677,1.5490120218402184,0.050069005640376085,0.5525712796652558,0.1872373564789648,1.5490120218402184,0.04930010851171993,0.532364572911062,5000,66.51163498599999,a7fe61b3b5a5968764c2f93e957de49ca6dce6c9bdc9ed6d25fb803e941da516
allen_cahn__full_exp__55,allen_cahn,full_exp,55,0.02475236366187304,0.048712666498311574,0.02804489722805309,0.039904748310838595,0.0244689140534814,0.048712666498311574,0.02782540286970253,0.03925245280901751,1200,7.109510974001751,4f78952dbf4fd8bbd6129b879e0863f3b2faca0204bd6b29fb0125a9f5960a37
