id,problem,variant,seed,l2_original_budget,l2_double_budget,l2_difference,maximum_original_budget,maximum_double_budget
allen_cahn__full_exp__111,allen_cahn,full_exp,111,0.036356104431845004,0.0196004517796145,-0.016755652652230505,0.05712712332466818,0.04575259257461717
burgers__full_quad__111,burgers,full_quad,111,0.3934399050323797,0.3938856968052172,0.0004457917728374894,1.913145012768478,1.9299951304492127
helmholtz__full_quad__111,helmholtz,full_quad,111,0.07256698378638231,0.047853585709717525,-0.024713398076664783,0.0803242077718681,0.038302134784245545
burgers__neither__111,burgers,neither,111,0.2873545769665871,0.2615484113733327,-0.025806165593254438,1.5103064623061209,1.5555455661860504
allen_cahn__full_quad__111,allen_cahn,full_quad,111,0.03647918067732464,0.0626160455134944,0.026136864836169754,0.07012005751931571,0.09410503223952457
helmholtz__neither__111,helmholtz,neither,111,0.1109854010090284,0.0797015212366279,-0.031283879772400505,0.20321721251539965,0.1646979720158968
wave__local_only__111,wave,local_only,111,0.19599629768655208,0.023655819288150352,-0.17234047839840172,0.25534889506248815,0.029000079025314374
wave__neither__111,wave,neither,111,0.27758957670297,0.10736740129599533,-0.1702221754069747,0.5150594843226403,0.19427698765401336
allen_cahn__local_only__111,allen_cahn,local_only,111,0.037482328846452695,0.025663480927690146,-0.011818847918762549,0.06296409195668023,0.04785675008265977
burgers__local_only__111,burgers,local_only,111,0.2616777653460985,0.2837351411121339,0.022057375766035392,1.7006540646214097,1.8997757867077967
wave__full_exp__111,wave,full_exp,111,0.2055453547702273,0.028682266273032535,-0.1768630884971948,0.2619499821998367,0.03920476609913459
wave__full_quad__111,wave,full_quad,111,0.16365250034334095,0.025520000703432508,-0.13813249963990842,0.22155056054820987,0.03018968359012386
burgers__global_only__111,burgers,global_only,111,0.32102777308176256,0.5431184491244246,0.22209067604266208,1.4998823896778348,1.9613759238768995
helmholtz__full_exp__111,helmholtz,full_exp,111,0.018981760239691604,0.06694570991824995,0.047963949678558354,0.04871777455515235,0.04286672539388797
helmholtz__global_only__111,helmholtz,global_only,111,0.09222623733458131,0.0077636986339353455,-0.08446253870064596,0.18552829883370395,0.02116242095739215
burgers__full_exp__111,burgers,full_exp,111,0.27866374224177315,0.27063207464670624,-0.008031667595066905,1.8631880197455581,1.9097437972357816
helmholtz__local_only__111,helmholtz,local_only,111,0.09715189155649503,0.019525037526136522,-0.07762685403035852,0.11588677136564246,0.02744177733388073
wave__global_only__111,wave,global_only,111,0.28195019689472406,0.11825841442749231,-0.16369178246723176,0.5212774327176243,0.24440252953429206
allen_cahn__neither__111,allen_cahn,neither,111,0.062274830628416156,0.05723073670704853,-0.0050440939213676275,0.1355064053842108,0.08341548785490621
allen_cahn__global_only__111,allen_cahn,global_only,111,0.048383695273054875,0.050452952979914596,0.0020692577068597215,0.1259012543639457,0.0810622756162851
