id,problem,variant,seed,status,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,refined_relative_l2,refined_max_abs_error,refined_q95_abs_error,refined_q99_abs_error,physics_rms_independent,physics_max_independent,peak_coord_0,peak_coord_1,elapsed_seconds,process_cpu_seconds,process_peak_rss_bytes,controller_weight_tv,controller_updates
helmholtz__neither__11,helmholtz,neither,11,succeeded,0.13571650892895099,0.1921484491781031,0.11897068934575428,0.16180280302042774,0.1343767953025755,0.19216808663123452,0.1180215412461657,0.1606272384821097,0.1343767953025755,0.19216808663123452,0.1180215412461657,0.1606272384821097,0.056697908775720764,0.33441551048542356,0.485,1.0,19.523262139000053,22.327557445,878424064,0.0,0
helmholtz__local_only__11,helmholtz,local_only,11,succeeded,0.10522690033737535,0.13399115509109996,0.07933268633743598,0.09459107113536243,0.10429700478064209,0.13399115509109996,0.07864508730995046,0.09345965036605668,0.10429700478064209,0.13399115509109996,0.07864508730995046,0.09345965036605668,0.11359073306614237,0.3185061794187281,0.0,1.0,20.452857193,21.591791524999998,875151360,0.0,0
helmholtz__full_quad__22,helmholtz,full_quad,22,succeeded,0.017058198934179054,0.025619522294829417,0.015836519877125185,0.01884873044368706,0.016897031232437507,0.025619522294829417,0.01574139574837974,0.01872511286226962,0.016897031232437507,0.025619522294829417,0.01574139574837974,0.01872511286226962,0.09664977087084142,0.4663636632748575,0.0,0.0,34.59319361100006,35.883580818999995,878342144,7.026129486080061,1500
helmholtz__local_only__22,helmholtz,local_only,22,succeeded,0.10591553877628486,0.14459740989001113,0.07957759683827709,0.09294565682115491,0.10496706960093674,0.14459740989001113,0.07889215497734191,0.09179389161324839,0.10496706960093674,0.14459740989001113,0.07889215497734191,0.09179389161324839,0.03868262355692669,0.22554776636289092,1.0,0.0,20.391799709999987,21.479596575,874434560,0.0,0
helmholtz__global_only__22,helmholtz,global_only,22,succeeded,0.10167743124794179,0.21627241461956023,0.08775205377406345,0.1339680764150978,0.10012272811089283,0.21627241461956023,0.08633645827881695,0.1303178648067631,0.10012272811089283,0.21627241461956023,0.08633645827881695,0.1303178648067631,0.05824517924783688,0.2930467975847107,1.0,0.0,30.518503837000026,31.857601347000003,874827776,2.677778984866532,1500
helmholtz__neither__22,helmholtz,neither,22,succeeded,0.11951876883336363,0.2294545362932342,0.10440429224551112,0.1506692444368089,0.11775463839903051,0.2294545362932342,0.10288425771762189,0.14714457893070626,0.11775463839903051,0.2294545362932342,0.10288425771762189,0.14714457893070626,0.05769638968799421,0.3067443170587851,1.0,0.0,19.871137736000037,21.180890675,878133248,0.0,0
helmholtz__full_exp__22,helmholtz,full_exp,22,succeeded,0.03917794783180763,0.05341974520853405,0.029119186134604014,0.03450002227741932,0.038831140298443444,0.05341974520853405,0.02888422336690316,0.03407062217834844,0.038831140298443444,0.05341974520853405,0.02888422336690316,0.03407062217834844,0.10420495114881512,0.4030722298395575,1.0,1.0,30.85654972899988,32.013945396,875139072,4.075868473866261,1500
helmholtz__neither__33,helmholtz,neither,33,succeeded,0.10886854084183609,0.26813474374614793,0.09395720697775538,0.15177240219690266,0.10706694397993288,0.26813474374614793,0.09227268489274207,0.14848929383202028,0.10706694397993288,0.26813474374614793,0.09227268489274207,0.14848929383202028,0.06875717485110364,0.39557765129724215,1.0,1.0,18.90117917900011,20.064564751,878305280,0.0,0
helmholtz__full_quad__33,helmholtz,full_quad,33,succeeded,0.01752430789901636,0.024194907552555246,0.016426870595798088,0.02013102872957121,0.017350373232056623,0.024195061341785486,0.016326011767776427,0.01998078167806051,0.017350373232056623,0.024195061341785486,0.016326011767776427,0.01998078167806051,0.13309575371654642,1.0030568214460176,0.715,0.0,30.434393983000064,31.633443546,878936064,6.915457361457027,1500
helmholtz__full_exp__33,helmholtz,full_exp,33,succeeded,0.01688176816934356,0.024577142857674476,0.013691874748191363,0.017192347006235207,0.01670734732068988,0.024577142857674476,0.01354537846188271,0.016888882849397317,0.01670734732068988,0.024577142857674476,0.01354537846188271,0.016888882849397317,0.0844216014254792,0.7965848823557842,1.0,1.0,29.998839821000047,31.230990562000002,877035520,3.3189606216407403,1500
