id,problem,variant,seed,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,steps,elapsed_seconds,model_sha256
block_missing__global_only__66,block_missing,global_only,66,0.4009240296600728,0.9815999309462486,0.6008708747678253,0.8583927994222066,0.40544225170874704,0.9816786197218866,0.613051199241684,0.8754791921329916,600,3.619751209000242,b6327bc4e4a47714d3520e3af59fcae67e1a981af07ca7c04d23e01d07c2ca40
extreme__neither__66,extreme,neither,66,0.45014946188426347,0.9931632397161144,0.6426065980155435,0.8606268379670607,0.4540955560331195,0.99338473735225,0.6530810258230941,0.8615406775903683,600,2.2673168779983826,46f63df7b993a175f9401cc9cb51f7c41f24c8d2bf4c54448e13c2a31d872095
block_missing__local_only__66,block_missing,local_only,66,0.34272564978424264,1.0148035648153215,0.5116101885059375,0.8130747670355314,0.34815301853317826,1.014871796610235,0.5311448474673327,0.8126597771477215,600,2.455585079998855,39f981db88a48e48bf6eeb2cdc02590791085cdafa3aee30e680fd1ae25327db
sparse_noisy__neither__66,sparse_noisy,neither,66,0.43884265085105806,1.1010086183540997,0.6335334916497902,0.9567646519295949,0.4426880468716245,1.1010086183540997,0.6455927631018994,0.9704827262233152,600,2.3671120809995045,528a891ae4ae47e2cce77e499bdbcadb677095c53f613585a426ded2be67ade5
sparse_clean__global_only__66,sparse_clean,global_only,66,0.43376197991804455,1.022037538633498,0.6482689267652608,0.9164435531543322,0.4378086214274447,1.0221835576283598,0.6580340310716475,0.9296665541371101,600,3.8185794689998147,44066c712696376216d2b5e5f0353b5a65ad624a2ae3f78fa8905510d708702a
sparse_noisy__local_only__66,sparse_noisy,local_only,66,0.38473539290291386,1.3460803247784887,0.5447585843547201,1.1335373059686944,0.3891296245932829,1.3460803247784887,0.5554983462649972,1.136073724560508,600,2.418655880002916,57d88054089a512eeab5eed3d8d404cc00c0ee58b5c1863387ea5c0b67aaec9c
sparse_noisy__full_quad__66,sparse_noisy,full_quad,66,0.40716537684507453,1.4347316159568861,0.4910498093847022,1.3096703398366831,0.4110645842705615,1.4347316159568861,0.5005883009828223,1.3059373042089635,600,3.7537274310016073,64f249af51d829f3263615e22a6d1cbb8bd8df453614c91fb441e9d5c70111c5
sparse_noisy__global_only__66,sparse_noisy,global_only,66,0.43069309698781455,1.1286955801746865,0.6225323600483093,0.9609497669676241,0.43457007018260324,1.1286955801746865,0.6353237221236199,0.9772768153120008,600,3.5285045269993134,85328c4a2fcf880154cc9c5827be08f6a94fb5c6428ac726fa6827f2ba43a957
extreme__full_quad__66,extreme,full_quad,66,0.4301876776227551,1.2388387887997137,0.5788661683945301,1.0767192765132576,0.4343950681702937,1.2388387887997137,0.5875071174710691,1.0868203864231445,600,3.564503797002544,97b6e4aefe53ac4b156ce5220bbd088270c6529f130195fa2a7a67abf7375f36
sparse_clean__neither__66,sparse_clean,neither,66,0.43716978568393944,1.0213793059368155,0.652918513624841,0.9092647085232616,0.4412070392115501,1.021421032719195,0.6619929185619672,0.9277019282221912,600,2.2254589539988956,8cc369ad9e07555981bd421da5e251f39dcd21bce016f358450a69d4ae6eeee0
sparse_noisy__full_exp__66,sparse_noisy,full_exp,66,0.3886745810160684,1.3556472959226267,0.5570129238757291,1.1386490186240927,0.3930356851956878,1.3556472959226267,0.5652149669860755,1.1411757555384667,600,3.6314657410002837,13772ff5084413ac8f9ca0993f593ffd670ec3101d750c2c5e32e0507eaf0537
extreme__full_exp__66,extreme,full_exp,66,0.4231623638018863,1.0800784885588746,0.6167664939814796,0.9341954603324947,0.4275212077947819,1.0804884521451728,0.6267706796517019,0.9319613647890804,600,3.66140128799816,3b84056044e6d581eaa7683e07945dfbce1bc61bcde498f850ea354455d55f67
sparse_clean__local_only__66,sparse_clean,local_only,66,0.4115317220078375,1.378737224601344,0.48834634088819173,1.255655097417843,0.4154671039679818,1.378737224601344,0.49117371819314387,1.269503347022805,600,2.4028980799994315,5b227c1782d0bb59c5fbd441075a51022c45e22e6fd663283d61e46accaa27d5
block_missing__full_exp__66,block_missing,full_exp,66,0.33213702675429846,1.0212422783175465,0.49466001350321076,0.8030445716239859,0.3376646351510091,1.0218872300743451,0.516687180477956,0.804391153203524,600,4.009189536998747,e927b34b0bf331ad0a2a99330126872e82e07170cde3882ed56c289ea23b043a
block_missing__full_quad__66,block_missing,full_quad,66,0.34131151540636145,1.1960720128167521,0.4966569677042332,0.83732939892399,0.3468755845721857,1.1967192741410257,0.5172733672065751,0.8693973425861777,600,3.7855848189974495,6f730dad90b07f28c1144cde891951638d71c1b91ac391dd8488778e422b64e5
sparse_clean__full_exp__66,sparse_clean,full_exp,66,0.4171853807429746,1.3854778877421952,0.4958160194644864,1.2630360167656824,0.4210435005148026,1.3854778877421952,0.4954854961342023,1.2742569389249527,600,3.6668704760013497,4b807c51113aee885ec952d960c91db3fe250f2a491f2715c47e08b56591a844
sparse_clean__full_quad__66,sparse_clean,full_quad,66,0.40792277114985176,1.3948699141188086,0.4816011576284549,1.3014300293288275,0.41182806483911943,1.3948699141188086,0.4840030490726662,1.297167686471963,600,3.701793074997113,72a749ad6a931bfd75b782b5f994ce1b6d31a8d0004182e3c3a80e78ff6922ef
block_missing__neither__66,block_missing,neither,66,0.40420674098883186,0.9837743546010793,0.6046685697901509,0.8577674017058398,0.4086867926293803,0.983933936745521,0.6172533436445297,0.8769774383634302,600,2.056376996999461,c8f86b299c1c0cc95cdc339f9d20e51e77773d75497c263b37b280844c53485c
extreme__local_only__66,extreme,local_only,66,0.4245818376197656,1.0866030447537518,0.6150974122227897,0.9407684543518123,0.4289072537848125,1.086968876962868,0.6250036048348357,0.9389190032440728,600,2.5762816419992305,35124b470627aefe3235853d441badef1c86b550e1e5fa054aa3affe369a1821
extreme__full_quad__77,extreme,full_quad,77,0.969325776760505,2.459643549759353,1.5150009827308524,2.1775730734862595,0.9685130751777441,2.4660299931336147,1.5255046356743427,2.183750624870627,600,3.67461680300039,ff808c5ce0d746abc77dacaac12446ea98de397c2bcf204c324866caca59c5b6
sparse_clean__full_exp__77,sparse_clean,full_exp,77,0.29789419214972773,0.7552442601035947,0.4405143923681634,0.5715459485082033,0.3029393425435272,0.7985837552881445,0.44622864418148844,0.6002735274531649,600,3.5579803029977484,b5c31e452d20052bb40c6294325d4ce4c6b4d01a0a184ff6159aa93bcb4f78bc
sparse_noisy__local_only__77,sparse_noisy,local_only,77,0.29435495661882183,0.7890117600324011,0.4510377242091532,0.615134929293568,0.2997450890399411,0.8037802794869471,0.45835803365953,0.6334879619476577,600,2.4819829129992286,91c2719a70e455ba3cf0af716e1585c61a43519f1fcc25b49cc18684f573b146
sparse_noisy__global_only__77,sparse_noisy,global_only,77,0.4706463608578165,1.2445969950848372,0.6269014000639443,1.1130193805696629,0.4740780135895657,1.2445969950848372,0.6352003781237374,1.1277564182324016,600,3.2769767540012253,fd596ea0567e2700c2a6ef0b93111f2da0b98db15ab67357b40932d108925aa5
block_missing__global_only__77,block_missing,global_only,77,0.39370721000851105,0.9723980423625954,0.5665932438190158,0.807477530264646,0.39834612657525786,0.9723980423625954,0.5849872384696553,0.8085535302287139,600,3.508599280998169,a78a958c4770ad2a5c422afd0ae2b27b116a9f3909957848b5d916fbf2330560
block_missing__full_exp__77,block_missing,full_exp,77,0.2614798814978381,0.93293742603386,0.36391750170185205,0.6224731995310215,0.2678077037793621,0.969949273528741,0.37498602252654195,0.6263517631903046,600,3.5665668100009498,de7cac3503d72a9894912e279acf55f91e80a990454c0bf70ae76c8cde428deb
sparse_clean__neither__77,sparse_clean,neither,77,0.46300408250529823,1.2487606910432167,0.6168444544662167,1.1206300444017945,0.4664840822454065,1.2487606910432167,0.6318665722356871,1.1311188079123724,600,2.251894603999972,1dede6fc4fb59c000e14ccff1d2017f407dfa6a579f437a3ac82c5ca355a5e0c
block_missing__full_quad__77,block_missing,full_quad,77,0.27188504027379445,0.8789583746908581,0.36282699703212745,0.7434237555529986,0.27778780388367597,0.8802525597813865,0.3727257804220294,0.761839938527568,600,3.529444648000208,7e074551d6e50e8ad81dc5c61e34912096ac12d1344c652e130f3de9e62c8bfc
extreme__full_exp__77,extreme,full_exp,77,0.9681295980849398,2.430417345406107,1.5197561714647978,2.126591802060548,0.9675158707393922,2.435631635944633,1.526947481410524,2.147827023433477,600,3.444590983002854,350c5b013be894caa585f2d7fe830c34aeb60bf7e1957d6197c727cda46452e6
sparse_noisy__full_quad__77,sparse_noisy,full_quad,77,0.4928245770387335,1.417775569225229,0.6851202777716052,1.276759572026862,0.49616015600089197,1.417775569225229,0.6991823872632943,1.2720493589227337,600,3.7164808310008084,3481d65169084af507d70ac5294640c10eedfb722d81adabd6cd2d05f30da6ad
