experiment,label,problem,method,seed,status,failure_reason,relative_l2,max_abs_error,controller_weight_tv_per_update,temporal_mean_gradient_distribution_tv,temporal_mean_physics_gradient_log_gap,elapsed_seconds,residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_max,kde_pairwise_distance_evaluations,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_max,bias_concentration_correlation,n_observations,noise_kind,noise_level,run_dir
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,55,succeeded,,0.18055454869790105,1.4795882349573404,0.001300777755767053,0.37509424905433497,1.7023160797948114,29.84844049200001,1306624,1.0,1.0,1.0,0,0.8054048417571389,2.038525544184189,5.3763528388083355,0.37521080451692823,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00055
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,66,succeeded,,0.5442507320240216,1.8734098425503638,0.0027096176698236736,0.3564458674163492,1.3903585202416917,29.533151389000068,1306624,1.0,1.0,1.0,0,0.876115397915779,2.004744600770474,5.412210141720311,0.6981310100629823,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00066
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,77,succeeded,,0.21073978542674973,1.7510801234369375,0.0015060853130347753,0.3131208615753232,0.8821089325981621,29.53929500000004,1306624,1.0,1.0,1.0,0,0.9150272863602618,2.034186032104373,3.943697985459427,0.4728417706879527,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00077
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,88,succeeded,,0.16800331061444107,1.2347984122738858,0.006512728584391362,0.17366566263411187,1.1033245026675693,30.402003729999706,1306624,1.0,1.0,1.0,0,0.8413236248831648,2.0571627801278796,4.732718734880637,0.3324273819263403,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00088
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,99,succeeded,,0.15278539237261843,1.36037983777943,0.002065157605552148,0.2481590094887824,1.7340368018958958,29.219596318000185,1306624,1.0,1.0,1.0,0,0.8825554566653026,2.0242148194569287,4.298709624865357,0.7915867874521598,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00099
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,111,succeeded,,0.26573959579473494,1.7908561434793056,0.0014112604067454634,0.3433229996116417,1.4218543027978585,29.25265758100022,1306624,1.0,1.0,1.0,0,0.9183388783665574,2.026594576238561,4.406926457257715,0.1024659486807902,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00111
burgers_long,Burgers — vRBA confirmatoire,burgers,vw,11,succeeded,,0.36408223695551184,0.8250799790202543,0.0,0.14498559630434693,0.5529308245439872,15.645610050999949,1357824,0.6864004571620069,1.0,5.6169350548907415,,,,,0.7642099642156944,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/vw/seed_00011
burgers_long,Burgers — vRBA confirmatoire,burgers,vw,22,succeeded,,0.43486905751371385,1.6435584624441488,0.0,0.08890283571727825,0.412548559470531,14.448389630999827,1357824,0.6742152930062749,1.0,6.5805514956699405,,,,,0.36357728143663237,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/vw/seed_00022
burgers_long,Burgers — vRBA confirmatoire,burgers,vw,33,succeeded,,0.5245564891848236,1.6577804213715366,0.0,0.1435249664598879,0.5039699282328594,14.517067115999907,1357824,0.5293213252480161,1.0,8.668745130332974,,,,,0.3400278260589627,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/vw/seed_00033
burgers_long,Burgers — vRBA confirmatoire,burgers,vw,44,succeeded,,0.3571601073560664,1.5236399890793353,0.0,0.15945563724633963,0.7173047489407309,14.359757940000009,1357824,0.5805149982229066,1.0,8.421655858958585,,,,,0.6527118039438916,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/vw/seed_00044
burgers_long,Burgers — vRBA confirmatoire,burgers,vw,55,succeeded,,0.4251055609934443,1.7190340947933398,0.0,0.0719929596613637,0.3669986071236109,14.531272121000029,1357824,0.6656094996193808,1.0,6.133523828810994,,,,,0.23475833646323796,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/vw/seed_00055
